Background	xsec	scale_factor	weight	bundleType
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	845.8879572	xg		
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_ext2	3606.153923	xg		
DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8	8766.09162	xg		
DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8_ext1	5604.55038	xg		
TTJets_Dilept_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8	18.151749	xg		
TTJets_Dilept_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8_ext1	68.285151	xg		
ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1	12.005928	xg		
ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1_ext1	7.358472	xg		
ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1	12.199572	xg		
ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1_ext1	7.164828	xg		
WWTo2L2Nu_13TeV-powheg	12.05622	xg		
WmWmJJ_13TeV-powheg-pythia8_TuneCUETP8M1	0.00778932	xg		
WpWpJJ_13TeV-powheg-pythia8_TuneCUETP8M1	0.0207207	xg		
WWTo2L2Nu_DoubleScattering_13TeV-pythia8	0.168597	xg		
WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8	5.54994	xg		
ZZTo2L2Nu_13TeV_powheg_pythia8	0.0893376	xg		
ZZTo2L2Nu_13TeV_powheg_pythia8_ext1	0.4690224	xg		
ZZTo2L2Q_13TeV_powheg_pythia8	3.1878	xg		
WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8	4.692328245	xg		
WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.206514	xg		
TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_ext1	0.09101565	xg		
tZq_ll_4f_13TeV-amcatnlo-pythia8	0.0932382	xg		
TTTJ_TuneCUETP8M2T4_13TeV-madgraph-pythia8	0.000476388	xg		
ZZTo4L_13TeV_powheg_pythia8	0.09574488	zz		
ZZTo4L_13TeV_powheg_pythia8_ext1	1.27203912	zz		
GluGluToContinToZZTo2e2mu_13TeV_MCFM701_pythia8	0.005375502	zz		
GluGluToContinToZZTo2e2tau_13TeV_MCFM701_pythia8	0.005375502	zz		
GluGluToContinToZZTo2mu2tau_13TeV_MCFM701_pythia8	0.005375502	zz		
GluGluToContinToZZTo4e_13TeV_MCFM701_pythia8	0.002669238	zz		
GluGluToContinToZZTo4mu_13TeV_MCFM701_pythia8	0.002669238	zz		
GluGluToContinToZZTo4tau_13TeV_MCFM701_pythia8	0.002669238	zz		
WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.1651	vvv		
WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.05565	vvv		
ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8	0.01398	vvv		
TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_ext2	0.112365	ttv		
TTZToLL_M-1to10_TuneCUETP8M1_13TeV-madgraphMLM-pythia8	0.0493	ttv		
TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_ext1	0.037935	ttv		
TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_ext2	0.111276	ttv		
TTZToLLNuNu_M-10_TuneCUETP8M1_13TeV-amcatnlo-pythia8_ext3	0.103689	ttv		
ST_tWll_5f_LO_13TeV_MadGraph_pythia8	0.01103	ttv		
TTTT_TuneCUETP8M2T4_13TeV-amcatnlo-pythia8	0.009103	ttv		
TTTW_TuneCUETP8M2T4_13TeV-madgraph-pythia8	0.0008612	ttv		
TTWW_TuneCUETP8M2T4_13TeV-madgraph-pythia8	0.007834	ttv		
TTWZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8	0.002938	ttv		
TTZZ_TuneCUETP8M2T4_13TeV-madgraph-pythia8	0.001563	ttv		
ttHToNonbb_M125_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8	0.2151	higgs		
GluGluHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8	0.01212	higgs		
VBF_HToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8	0.001034	higgs		
bbH_HToZZTo4L_M125_13TeV_JHUgenV702_pythia8	0.000324	higgs		
VHToNonbb_M125_13TeV_amcatnloFXFX_madspin_pythia8	0.9561	higgs		
